rank,title,authors,categories,description,published_year,average_rating,ratings_count,edition_count,isbn_10,isbn_13,source,source_id,canonical_url,thumbnail,popularity_score
55,Harry Potter and the Deathly Hallows,J. K. Rowling,"fantasy, Juvenile Fiction","At a time when the forces of evil seem to be gaining the upper hand, Harry comes of age in the wizarding world, and must take on and defeat Voldemort--or be killed himself.",2007,4.5,92,,,,google,GZAoAQAAIAAJ,http://books.google.com/books?id=GZAoAQAAIAAJ&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=GZAoAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,43.162483709814474
56,The Pathfinder,James Fenimore Cooper,thriller,,1800,,,427,,,openlibrary,OL78009W,https://openlibrary.org/works/OL78009W,https://covers.openlibrary.org/b/id/8980913-M.jpg,42.7
57,"Under the Greenwood Tree or, The Mellstock quire",Thomas Hardy,romance,,1872,,,425,,,openlibrary,OL44973W,https://openlibrary.org/works/OL44973W,https://covers.openlibrary.org/b/id/902186-M.jpg,42.5
58,Jude the Obscure,Thomas Hardy,romance,,1895,,,425,,,openlibrary,OL44986W,https://openlibrary.org/works/OL44986W,https://covers.openlibrary.org/b/id/12973053-M.jpg,42.5
59,Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,thriller,,1872,,,425,,,openlibrary,OL1100007W,https://openlibrary.org/works/OL1100007W,https://covers.openlibrary.org/b/id/6976035-M.jpg,42.5
60,Le rouge et le noir,Stendhal,romance,,1830,,,404,,,openlibrary,OL733640W,https://openlibrary.org/works/OL733640W,https://covers.openlibrary.org/b/id/8231413-M.jpg,40.400000000000006
61,The Woodlanders,Thomas Hardy,romance,,1800,,,392,,,openlibrary,OL44990W,https://openlibrary.org/works/OL44990W,https://covers.openlibrary.org/b/id/8243078-M.jpg,39.2
62,Vingt mille lieues sous les mers,Jules Verne,thriller,,1870,,,382,,,openlibrary,OL1099280W,https://openlibrary.org/works/OL1099280W,https://covers.openlibrary.org/b/id/6573517-M.jpg,38.2
63,The pioneers,James Fenimore Cooper,"thriller, romance",,1800,,,378,,,openlibrary,OL77997W,https://openlibrary.org/works/OL77997W,https://covers.openlibrary.org/b/id/9000512-M.jpg,37.800000000000004
64,White Fang,Jack London,thriller,,1905,,,367,,,openlibrary,OL74504W,https://openlibrary.org/works/OL74504W,https://covers.openlibrary.org/b/id/8236920-M.jpg,36.7
65,Fablehaven,Brandon Mull,"fantasy, Juvenile Fiction",Kendra and Seth find themselves in the midst of a battle between good and evil when they visit their grandparents' estate and discover that it is a sanctuary for magical creatures.,2007,4.5,63,,1416947205,9781416947202,google,w7FfrQxhnxEC,http://books.google.com/books?id=w7FfrQxhnxEC&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=w7FfrQxhnxEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,35.71764269937197
